id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
49509893,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
49515832,31,1125,31.0,31.0,2.0,1125.0,31.0,1076.2
49516381,31,1125,31.0,31.0,2.0,1125.0,31.0,1076.2
49517470,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49517485,31,1125,31.0,31.0,1.0,1125.0,31.0,1023.0
49517759,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49532596,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
49540338,5,1125,4.0,5.0,1125.0,1125.0,5.0,1125.0
49544329,1,14,1.0,1.0,1125.0,1125.0,1.0,1125.0
49544828,2,105,2.0,2.0,1125.0,1125.0,2.0,1125.0
49550796,2,1125,2.0,3.0,1125.0,1125.0,2.1,1125.0
49550853,1,1125,1.0,2.0,1125.0,1125.0,1.7,1125.0
49564238,1,3,1.0,1.0,1125.0,1125.0,1.0,1125.0
49565651,180,600,180.0,180.0,1125.0,1125.0,180.0,1125.0
49568217,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
49568687,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49569152,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49571052,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0
49588882,2,100,2.0,2.0,1125.0,1125.0,2.0,1125.0
49589230,31,1125,31.0,31.0,1.0,1125.0,31.0,1023.0
49590808,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49594740,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
49597190,31,365,31.0,31.0,1125.0,1125.0,31.0,1125.0
49611274,31,365,31.0,31.0,365.0,365.0,31.0,365.0
49615870,31,365,31.0,31.0,365.0,365.0,31.0,365.0
49615874,31,365,31.0,31.0,365.0,365.0,31.0,365.0
49615879,31,365,31.0,31.0,365.0,365.0,31.0,365.0
49632310,31,90,31.0,31.0,90.0,90.0,31.0,90.0
